Vehicle_ID,Lane,Frame,Timestamp
5,2,1,3.84
4,2,1,3.85
3,2,1,3.85
2,2,1,3.85
1,2,1,3.85
6,2,12,4.96
8,2,24,6.04
11,2,32,6.81
13,3,39,7.46
15,2,40,7.55
14,2,44,7.94
17,2,45,8.05
16,2,45,8.05
18,2,47,8.27
21,2,56,9.2
23,1,64,9.95
26,3,83,11.83
31,3,98,13.38
32,2,99,13.49
34,1,106,14.16
38,2,123,15.84
37,2,123,15.84
39,2,125,16.05
41,2,132,16.73
46,2,141,17.57
44,2,142,17.69
48,2,145,17.97
49,2,157,19.19
50,2,162,19.7
54,2,184,21.89
55,2,187,22.17
57,2,193,22.81
59,2,200,23.51
58,2,204,23.92
61,2,207,24.22
60,2,211,24.65
65,2,229,26.5
63,2,232,26.81
70,2,246,28.38
72,2,248,28.63
69,2,248,28.63
74,2,253,29.19
76,2,255,29.4
68,2,255,29.4
80,2,264,30.4
81,2,268,30.86
82,2,269,30.99
85,2,273,31.5
83,2,274,31.61
84,2,275,31.72
86,2,306,35.87
89,2,323,38.01
88,2,327,38.5
90,2,328,38.61
93,2,335,39.41
92,2,335,39.41
99,2,353,41.62
97,2,359,42.38
102,2,364,43.01
103,2,367,43.36
104,2,370,43.7
105,2,379,44.8
106,2,394,47.03
107,2,408,48.82
108,2,426,51.54
110,2,431,52.25
109,2,431,52.25
113,2,437,53.14
114,2,451,55.07
115,2,453,55.31
116,2,456,55.64
117,2,463,56.47
